Material,Hardness,Density,Temperature,Load,Speed,WearRate,FrictionCoefficient
Steel,69.36,7.89,131,76,750,0.1872,0.7387
Steel,62.5,7.79,397,104,921,0.5797,0.7832
Steel,84.25,7.87,410,196,326,3.0565,0.747
Steel,60.18,7.7,499,63,560,0.8553,0.5558
Steel,69.16,7.79,711,194,612,3.8888,0.653
Steel,71.67,7.87,671,25,890,0.3102,0.526
Steel,84.14,7.86,370,57,947,0.2583,0.7737
Steel,63.05,7.8,59,85,981,0.0894,0.5729
Steel,70.63,7.74,796,58,526,1.3795,0.8878
Steel,83.49,7.88,294,99,865,0.4144,0.6306
Steel,73.02,7.89,749,86,928,0.8961,0.8315
Steel,67.02,7.81,65,161,64,1.9671,0.5661
Steel,70.59,7.78,672,67,188,3.6795,0.5795
Steel,79.75,7.82,514,45,77,3.9524,0.8452
Steel,68.27,7.71,431,66,777,0.5558,0.7664
Steel,66.87,7.81,763,105,992,1.3337,0.7853
Steel,74.03,7.85,417,19,907,0.0995,0.5102
Steel,60.79,7.83,588,100,949,0.917,0.863
Steel,70.26,7.85,60,17,209,0.0749,0.7395
Steel,82.01,7.82,598,189,695,1.7596,0.6826
Steel,70.41,7.88,664,96,522,1.4638,0.6272
Steel,65.7,7.79,652,7,408,0.1726,0.5659
Steel,72.12,7.84,258,176,713,0.8206,0.8772
Steel,72.97,7.84,137,66,546,0.204,0.6016
Steel,77.41,7.84,637,117,130,8.8179,0.6067
Steel,70.28,7.71,760,133,452,3.2213,0.7723
Steel,71.19,7.81,271,72,488,0.5027,0.8046
Steel,78.21,7.77,634,143,560,2.3477,0.5361
Steel,68.02,7.74,373,7,709,0.0481,0.6304
Steel,77.78,7.86,172,100,760,0.3132,0.5697
Steel,69.67,7.89,665,15,522,0.2788,0.5836
Steel,77.39,7.75,168,94,673,0.3068,0.7221
Steel,66.05,7.72,676,41,209,1.8785,0.7532
Steel,68.73,7.85,155,152,201,1.97,0.6618
Steel,81.27,7.89,444,170,153,4.8786,0.7426
Steel,62.54,7.83,362,198,871,1.5761,0.6794
Steel,64.4,7.7,422,25,865,0.2007,0.7986
Steel,81.23,7.83,57,180,509,0.2617,0.7035
Steel,66.26,7.82,254,113,612,0.7449,0.8568
Steel,79.87,7.8,308,115,530,0.9112,0.5781
Steel,67.02,7.7,73,21,221,0.1223,0.8762
Steel,82.87,7.77,769,41,329,1.1808,0.6323
Steel,74.31,7.9,140,195,302,1.3874,0.654
Steel,67.92,7.73,759,58,619,0.8672,0.872
Steel,65.22,7.83,687,198,688,3.4891,0.7073
Steel,78.52,7.84,270,180,88,7.9039,0.6174
Steel,80.25,7.87,549,64,555,0.8292,0.5021
Steel,64.86,7.71,424,146,932,0.9731,0.6352
Steel,62.35,7.82,75,157,747,0.2312,0.7171
Steel,74.77,7.71,716,174,887,1.9064,0.6213
Steel,68.17,7.87,596,112,54,20.6141,0.6829
Steel,64.86,7.78,680,17,419,0.3952,0.7065
Steel,79.88,7.75,628,62,1000,0.4259,0.6003
Steel,62.02,7.79,665,62,683,0.8761,0.5626
Steel,73.73,7.84,512,121,946,0.9727,0.8819
Steel,73.86,7.82,271,199,125,5.0436,0.7264
Steel,63.0,7.77,244,73,96,3.3639,0.5163
Steel,77.59,7.79,242,180,390,1.2513,0.6894
Steel,70.85,7.78,546,73,149,3.5863,0.5181
Steel,75.65,7.8,793,73,565,1.5949,0.7463
Steel,83.61,7.87,184,88,713,0.2796,0.7709
Steel,63.21,7.86,451,105,317,2.7993,0.6544
Steel,82.63,7.74,421,16,656,0.1014,0.6509
Steel,75.46,7.77,114,12,654,0.0224,0.838
Steel,80.36,7.76,220,62,550,0.3625,0.6393
Steel,60.98,7.78,785,168,443,5.0157,0.6694
Steel,74.4,7.85,572,100,713,1.105,0.8468
Steel,65.96,7.84,303,103,922,0.5202,0.6511
Steel,72.41,7.78,421,191,68,13.1355,0.6557
Steel,82.63,7.72,479,32,767,0.2402,0.7707
Steel,72.33,7.72,93,103,445,0.3181,0.6315
Steel,78.81,7.86,593,43,158,2.4363,0.8724
Steel,84.9,7.71,187,79,707,0.2646,0.8875
Steel,80.92,7.87,254,11,223,0.1284,0.7804
Steel,80.55,7.84,541,33,214,1.0694,0.5933
Steel,81.58,7.88,681,75,266,2.2126,0.7368
Steel,77.7,7.8,206,171,140,3.0184,0.5995
Steel,70.86,7.75,778,130,107,14.7651,0.7964
Steel,80.57,7.85,411,96,239,2.0307,0.6601
Steel,62.07,7.81,141,138,107,3.4804,0.5049
Steel,61.08,7.88,237,168,276,1.9607,0.7782
Steel,64.16,7.74,167,163,562,0.7804,0.751
Steel,82.53,7.71,36,78,785,0.0415,0.5231
Steel,62.67,7.77,146,96,725,0.2904,0.6855
Steel,74.59,7.72,65,196,972,0.1783,0.7793
Steel,67.74,7.86,756,161,958,2.1176,0.8644
Steel,83.74,7.85,474,14,873,0.0926,0.8507
Steel,64.12,7.78,398,69,195,1.8892,0.8949
Steel,74.85,7.78,713,165,659,2.0357,0.5147
Steel,60.34,7.72,500,99,694,1.2083,0.8987
